name,ra,dec,l,b,N,velocity,distance,members
Leo I,165.5,13.0,95.0,-23.0,14,702.0,35.0,"3299,3351,3368,3377,3377A,3379,3384,3412,3489,3593,3599,3623,3627,3628."
NGC1023,38.75,39.900001525878906,342.0,-8.0,8,713.0,35.0,"891,949,1003,1023,1058,UGC2014,UGC2034,UGC2259."
NGC1800,77.25,-32.20000076293945,257.0,-61.0,3,717.0,35.0,"1800,ESO362-9,ESO422-41."
NGC6744,286.0,-64.19999694824219,207.0,10.0,6,746.0,40.0,"6684,6684A,6744,IC4710,IC4824,ESO141-42."
NGC4062,180.75,31.600000381469727,83.0,-3.0,4,757.0,50.0,"4020,4062,UGC6900,UGC7007."
NGC3675,170.75,43.20000076293945,69.0,-5.0,3,783.0,40.0,"3600,3675,UGC6161."
NGC628,24.5,15.300000190734863,314.0,-6.0,5,792.0,40.0,"628,660,UGC1176,UGC1195,UGC1200."
NGC2427,116.0,-50.0,193.0,-54.0,5,823.0,40.0,"2427,2502,ESO208-21,ESO208-33,ESO209-9."
NGC2997,146.25,-31.100000381469727,146.0,-48.0,8,851.0,40.0,"2997,3056,IC2507,ESO373-8,ESO434-33,ESO434-34,ESO434-41,ESO435-16."
NGC3175,152.5,-28.700000762939453,141.0,-43.0,4,872.0,45.0,"3113,3137,3175,ESO499-37."
NGC5866,227.75,56.099998474121094,59.0,32.0,5,877.0,50.0,"5866,5866B,5879,5906,5963."
ESO501-23,159.75,-24.200000762939453,135.0,-37.0,3,886.0,50.0,"ESO501-23,ESO501-79,ESO501-80."
Virgo I,188.0,11.5,104.0,-2.0,177,895.0,52.0,"4037,4064,4124,4178,4192,4204,4206,4212,4216,4222,4237,4239,4262,4267,4293,4294,4298,4299,4302,4305,4307,4309,4312,4313,4316,4321,4330,4336,4339,4340,4341,4343,4350,4352,4356,4365,4371,4374,4377,4379,4380,4382,4383,4387,4394,4396,4402,4406,4411A,4411B,4413,4416,4417,4419,4421,4423,4424,4425,4429,443"
Ursa Major S,180.0,46.79999923706055,68.0,2.0,33,903.0,55.0,"3726,3769,3877,3893,3906,3922,3924,3938,3949,4010,4013,4026,4051,4085,4088,4100,4111,4117,4138,4143,4157,4183,4217,4220,4346,IC749,IC750,UGC6628,UGC6818,UGC6917,UGC6930,UGC6956,UGC7089."
NGC1433,57.75,-46.29999923706055,248.0,-41.0,10,916.0,60.0,"1411,1433,1448,1493,1494,1495,1527,IC1970,IC2000,ESO249-36."
NGC3941,178.25,37.20000076293945,77.0,-2.0,4,934.0,50.0,"3930,3941,UGC6792,UGC6955."
NGC1792,76.75,-37.70000076293945,249.0,-58.0,4,939.0,50.0,"1792,1808,1827,ESO305-9."
NGC4546,189.0,-4.099999904632568,119.0,-6.0,3,949.0,50.0,"4546,4597,MCG-1-32-23."
NGC4594,190.0,-11.100000381469727,126.0,-7.0,8,957.0,50.0,"4487,4504,4594,4722,4802,MCG-1-32-28,MCG-2-32-15,MCG-2-33-47."
NGC5033,198.25,36.900001525878906,81.0,13.0,9,962.0,50.0,"5002,5005,5033,5107,5112,IC3961,IC4213,UGC8246,UGC8303."
NGC4274,184.75,29.100000381469727,86.0,0.0,7,966.0,60.0,"4173,4245,4251,4274,4310,4314,IC3215."
NGC3607,169.5,17.5,92.0,-17.0,11,991.0,70.0,"3501,3507,3596,3607,3608,3681,3684,3686,UGC6112,UGC6171,UGC6324."
